text,label,language,channel
urgent payment request otp verify,scam,ml,ivr
normal support acknowledgement,benign,en,mobile_app
urgent payment request otp verify,scam,kn,whatsapp
normal support acknowledgement,benign,kn,whatsapp
urgent payment request otp verify,scam,pa,mobile_app
normal support acknowledgement,benign,as,ivr
urgent payment request otp verify,scam,te,whatsapp
normal support acknowledgement,benign,or,mobile_app
urgent payment request otp verify,scam,hi,mobile_app
normal support acknowledgement,benign,pa,ivr
urgent payment request otp verify,scam,pa,mobile_app
normal support acknowledgement,benign,bn,ivr
urgent payment request otp verify,scam,hi,whatsapp
normal support acknowledgement,benign,en,whatsapp
urgent payment request otp verify,scam,te,whatsapp
normal support acknowledgement,benign,kn,whatsapp
urgent payment request otp verify,scam,bn,mobile_app
normal support acknowledgement,benign,or,mobile_app
urgent payment request otp verify,scam,ta,mobile_app
normal support acknowledgement,benign,bn,ivr
urgent payment request otp verify,scam,te,mobile_app
normal support acknowledgement,benign,en,ivr
urgent payment request otp verify,scam,ml,whatsapp
normal support acknowledgement,benign,ta,mobile_app
urgent payment request otp verify,scam,bn,ivr
normal support acknowledgement,benign,te,whatsapp
urgent payment request otp verify,scam,gu,mobile_app
normal support acknowledgement,benign,mr,whatsapp
urgent payment request otp verify,scam,en,mobile_app
normal support acknowledgement,benign,mr,mobile_app
urgent payment request otp verify,scam,pa,mobile_app
normal support acknowledgement,benign,kn,ivr
urgent payment request otp verify,scam,bn,mobile_app
normal support acknowledgement,benign,bn,mobile_app
urgent payment request otp verify,scam,as,mobile_app
normal support acknowledgement,benign,hi,whatsapp
urgent payment request otp verify,scam,en,ivr
normal support acknowledgement,benign,en,mobile_app
urgent payment request otp verify,scam,mr,ivr
normal support acknowledgement,benign,pa,whatsapp
urgent payment request otp verify,scam,en,ivr
normal support acknowledgement,benign,gu,ivr
urgent payment request otp verify,scam,as,whatsapp
normal support acknowledgement,benign,ta,mobile_app
urgent payment request otp verify,scam,ml,whatsapp
normal support acknowledgement,benign,or,whatsapp
