text,label
kyc suspension message with otp verification reference #0,scam
delivery update message with service ticket reference #1,benign
otp verification message with video call inspection reference #2,scam
delivery update message with bank statement reference #3,benign
digital arrest message with otp verification reference #4,scam
bill receipt message with delivery update reference #5,benign
account freeze message with police case reference #6,scam
bank statement message with bill receipt reference #7,benign
account freeze message with kyc suspension reference #8,scam
delivery update message with appointment reminder reference #9,benign
digital arrest message with police case reference #10,scam
service ticket message with bill receipt reference #11,benign
kyc suspension message with digital arrest reference #12,scam
bill receipt message with bank statement reference #13,benign
account freeze message with digital arrest reference #14,scam
appointment reminder message with delivery update reference #15,benign
otp verification message with account freeze reference #16,scam
service ticket message with delivery update reference #17,benign
account freeze message with police case reference #18,scam
service ticket message with bank statement reference #19,benign
digital arrest message with otp verification reference #20,scam
appointment reminder message with bill receipt reference #21,benign
video call inspection message with police case reference #22,scam
service ticket message with appointment reminder reference #23,benign
digital arrest message with account freeze reference #24,scam
bill receipt message with appointment reminder reference #25,benign
video call inspection message with police case reference #26,scam
appointment reminder message with bank statement reference #27,benign
otp verification message with police case reference #28,scam
service ticket message with bank statement reference #29,benign
otp verification message with kyc suspension reference #30,scam
bill receipt message with service ticket reference #31,benign
digital arrest message with video call inspection reference #32,scam
service ticket message with bill receipt reference #33,benign
police case message with digital arrest reference #34,scam
delivery update message with service ticket reference #35,benign
kyc suspension message with video call inspection reference #36,scam
bank statement message with appointment reminder reference #37,benign
account freeze message with police case reference #38,scam
service ticket message with appointment reminder reference #39,benign
digital arrest message with account freeze reference #40,scam
service ticket message with bill receipt reference #41,benign
digital arrest message with police case reference #42,scam
delivery update message with service ticket reference #43,benign
otp verification message with video call inspection reference #44,scam
delivery update message with bank statement reference #45,benign
account freeze message with kyc suspension reference #46,scam
delivery update message with service ticket reference #47,benign
digital arrest message with account freeze reference #48,scam
appointment reminder message with bill receipt reference #49,benign
otp verification message with police case reference #50,scam
bill receipt message with appointment reminder reference #51,benign
video call inspection message with kyc suspension reference #52,scam
bank statement message with appointment reminder reference #53,benign
account freeze message with kyc suspension reference #54,scam
delivery update message with bill receipt reference #55,benign
otp verification message with kyc suspension reference #56,scam
delivery update message with bill receipt reference #57,benign
kyc suspension message with police case reference #58,scam
service ticket message with bank statement reference #59,benign
digital arrest message with account freeze reference #60,scam
bank statement message with bill receipt reference #61,benign
account freeze message with video call inspection reference #62,scam
appointment reminder message with bank statement reference #63,benign
video call inspection message with police case reference #64,scam
service ticket message with appointment reminder reference #65,benign
otp verification message with video call inspection reference #66,scam
service ticket message with bill receipt reference #67,benign
account freeze message with police case reference #68,scam
service ticket message with delivery update reference #69,benign
otp verification message with video call inspection reference #70,scam
appointment reminder message with bank statement reference #71,benign
account freeze message with kyc suspension reference #72,scam
bank statement message with appointment reminder reference #73,benign
otp verification message with police case reference #74,scam
bill receipt message with delivery update reference #75,benign
video call inspection message with police case reference #76,scam
service ticket message with appointment reminder reference #77,benign
account freeze message with kyc suspension reference #78,scam
bank statement message with bill receipt reference #79,benign
police case message with video call inspection reference #80,scam
delivery update message with bill receipt reference #81,benign
kyc suspension message with otp verification reference #82,scam
service ticket message with bill receipt reference #83,benign
digital arrest message with account freeze reference #84,scam
bank statement message with appointment reminder reference #85,benign
account freeze message with video call inspection reference #86,scam
service ticket message with delivery update reference #87,benign
account freeze message with video call inspection reference #88,scam
delivery update message with appointment reminder reference #89,benign
video call inspection message with otp verification reference #90,scam
appointment reminder message with bill receipt reference #91,benign
otp verification message with digital arrest reference #92,scam
service ticket message with delivery update reference #93,benign
otp verification message with account freeze reference #94,scam
bill receipt message with service ticket reference #95,benign
digital arrest message with police case reference #96,scam
bill receipt message with delivery update reference #97,benign
video call inspection message with digital arrest reference #98,scam
bank statement message with service ticket reference #99,benign
kyc suspension message with account freeze reference #100,scam
bank statement message with delivery update reference #101,benign
video call inspection message with otp verification reference #102,scam
appointment reminder message with delivery update reference #103,benign
